instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stl.mo.9007,﻿college,﻿St. Mary's College,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,,37.727024,-89.889841,,,,,,,,,,﻿student,﻿88 boarders,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9007,﻿college,﻿St. Mary's College,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,,37.727024,-89.889841,,,,,,,,,,﻿student,﻿9 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.636426,-90.234225,,,,﻿pet_j_verhaegen_001,﻿Rev.,﻿Peter Joseph Verhœgen,﻿S.J.,"﻿Superior of the mission of the Society of Jesus in Missouri, and President of the Faculty of Arts and Board of Trustees",,﻿teacher,﻿7 scholastics,,,1839,﻿https://www.slu.edu/timeline/index.php,"﻿The Mercantile Department embraces Reading, Writing, the English and French Languages, Poetry, Rhetoric, History, Geography, Mythology, Book-Keeping, Arithmetic, Algebra, Geometry, the use of the Globes, Trigonometry, Mensuration, and Survey-ng. The Classical Department, besides the above specified subjects, comprises the Latin and Greek Languages, Logic, Metaphysics, Moral and Natural Philosophy, and the higher branches of the Mathematics.",,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿joh_a_elet_901,﻿Rev.,﻿John A. Elet,﻿S.J.,"﻿Rector of the University, and Vice President of the Faculty",,﻿religious,﻿8 lay brothers,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿jam_van-de-velde_901,﻿Rev.,﻿James Van de Velde,﻿S.J.,﻿Vice-Rector and Chancellor,,﻿religious,﻿136 boarders,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿the_de-theux_901,﻿Rev.,﻿Theodore De Theux,﻿S.J.,﻿Prof. of Dogm. and Mor. Theol. and Treasurer of the Board,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿geo_a_carrell_901,﻿Rev.,﻿George A. Carrell,﻿S.J.,"﻿Prof. of Rhetoric and Belles-Lettres, and Secretary of the Faculty",,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿jos_van-sweevelt_901,﻿Rev.,﻿Joseph Van Sweevelt,﻿S.J.,﻿Prof. of Mathem. and Nat. Philosophy,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿alo_m_pin_901,﻿Rev.,﻿Aloysius M. Pin,﻿S.J.,﻿Prof. of Metaphysics and Chemistry,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿j_b_emig_001,﻿Rev.,﻿John B. Emig,﻿S.J.,﻿Prof. of Ancient Languages,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿ger_aelen_901,﻿Rev.,﻿Gerard Aelen,﻿S.J.,﻿Prof. of Modern Languages,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿bar_krynen_901,﻿Rev.,﻿Bartholomew Krynen,﻿S.J.,﻿Prof. of Languages and Librarian,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿pet_verheyden_901,﻿Rev.,﻿Peter Verheyden,﻿S.J.,﻿Prof. of Architecture and Drawing,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis University,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.636426,-90.234225,,,,﻿the_de-leeuw_001,﻿Rev.,﻿Theodore De Leeuw,﻿S.J.,﻿Chaplain,,﻿religious,﻿24 externs,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9068,﻿day school,﻿St. Louis Day School,English,,,,,,,,,,,,,,,,,,,,,﻿student,﻿80 scholars,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
﻿stl.mo.9004_02,﻿day school,﻿St. Charles's Day School,English,,,,,,﻿St. Charles,,﻿MO,,38.786216,-90.480364,,,,﻿mic_hoey_901,﻿Rev.,﻿Michael Hoey,﻿S.J.,﻿Teacher,,﻿teacher,﻿50 pupils,,,1839,,,,,﻿,﻿,﻿St. Louis,StLouis
