instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0035,﻿station,[Unnamed Institution],English,,,,﻿Chesterfield District,,﻿Cheraw,,﻿SC,,34.693371,-79.89188,,﻿[visited by] Rev. Edward Quigley,,﻿edw_quigley_901,﻿Rev.,﻿Edward Quigley,,,,,,,,1839,﻿https://www.scpictureproject.org/chesterfield-county/st-peters-catholic-church.html ; feel like the founding in 42 makes it safe to say that this is a precursor,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.052598,-78.876608,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1839,﻿https://www.stpatnc.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,[Unnamed Institution],English,,,,,,﻿Raleigh,,﻿NC,,35.854167,-78.761944,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1839,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,[Unnamed Institution],English,,,,,,﻿Wilmington,,﻿NC,,34.21,-77.886667,,﻿[attended by] Rev. Thomas Murphy,﻿two or three times in the year,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1839,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9008,﻿station,[Unnamed Institution],English,,,,﻿Duplin County,,,,,,,,,﻿[attended by] Rev. Thomas Murphy,﻿two or three times in the year,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1839,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0009,﻿station,[Unnamed Institution],English,,,,,,﻿Halifax,,﻿NC,,36.325556,-77.59,,﻿[attended by] Rev. Thomas Murphy,﻿two or three times in the year,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1839,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9007,﻿church,﻿St. John Evang.,English,,,,﻿Beaufort County,,﻿Washington,,﻿NC,,35.546753,-77.059346,,,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1839,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0004,﻿church,[Unnamed Institution],English,﻿about 30 miles below Washington,,,,﻿Craven County,﻿Newbern,﻿New Bern,﻿NC,﻿NC,35.084575,-77.068429,,﻿attend[ed] every alternate month [by] Rev. Francis Farrall,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1839,"﻿While this church would not be built until 1840, the historical research others have done appears to make a clear connection between this early group of Catholics in 1833 and the formation of a congregation, then a church, in a few years. Because it is a precursor, I feel like it is worth giving it the ID: https://newbernhistorical.org/this-month-in-new-bern-history-january-2022/",,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9005,﻿church,[Unnamed Institution],English,,,,﻿Pitt County,,﻿Greenville,,﻿NC,,35.594444,-77.376111,,﻿attended twice or thrice in the year [by] Rev. Francis Farrall,﻿twice or thrice in the year,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1839,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9009,﻿station,[Unnamed Institution],English,,,,,,﻿Hartford,,﻿NC,,,,,﻿attended twice or thrice in the year [by] Rev. Francis Farrall,﻿twice or thrice in the year,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1839,"﻿https://en.wikipedia.org/wiki/Hertford,_North_Carolina Seems like it might mean Hertford",,﻿,﻿,﻿Charleston,Charleston
