instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,NOTES,courses,Unnamed: 32,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.9017,﻿station,[Unnamed Institution],English,,,,,,﻿Lexington,,﻿SC,,,,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9003,﻿station,[Unnamed Institution],English,,,,,,﻿Lincoln,,﻿NC,,35.665556,-80.490833,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0011,﻿station,[Unnamed Institution],English,,,,,﻿Mecklenburg County,﻿Charlotte,﻿Charlotte,﻿NC,﻿NC,35.167851,-80.728246,,﻿[attended by] Rev. James Wallace,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1838,﻿Seems like this is a mission of some sort - or a satellite station?,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0002,﻿church,﻿St. Patrick's,English,,,,,﻿Cumberland County,﻿Fayetteville,﻿Fayetteville,﻿NC,﻿NC,35.052598,-78.876608,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1838,﻿https://www.stpatnc.org/history,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0018,﻿church,[Unnamed Institution],English,,,,,,﻿Raleigh,,﻿NC,,35.854167,-78.761944,,,,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0001,﻿church,[Unnamed Institution],English,,,,,,﻿Wilmington,,﻿NC,,34.21,-77.886667,,﻿[attended by] Rev. Thomas Murphy,﻿two or three times in the year,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9008,﻿station,[Unnamed Institution],English,,,,﻿Duplin County,,,,,,,,,﻿[attended by] Rev. Thomas Murphy,﻿two or three times in the year,,,,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.0009,﻿station,[Unnamed Institution],English,,,,,,﻿Halifax,,﻿NC,,36.325556,-77.59,,﻿[attended by] Rev. Thomas Murphy,﻿two or three times in the year,﻿tho_murphy_001,﻿Rev.,﻿Thomas Murphy,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9007,﻿church,﻿St. John Evang.,English,,,,,,﻿Washington,,,,35.546753,-77.059346,,,,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
﻿ral.nc.9005,﻿church,[Unnamed Institution],English,,,,﻿Pitt County,,﻿Greenville,,﻿NC,,35.594444,-77.376111,,﻿[attended by] Rev. Francis Farrall,﻿twice or thrice in the year,﻿fra_farrall_901,﻿Rev.,﻿Francis Farrall,,,,,,,,1838,,,,﻿,﻿,﻿Charleston,Charleston
