instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,notes,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.945643,-75.148563,,,,﻿hen_conwell_901,﻿Right Rev.,﻿Henry Conwell,﻿D.D.,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.945643,-75.148563,,,,﻿fra_p_kenrick_901,﻿Right Rev.,﻿Fran P. Kenrick,﻿D.D.,﻿Coadj.,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.945643,-75.148563,,,,﻿jer_keiley_901,﻿Rev.,﻿Jeremiah Keiley,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.945643,-75.148563,,,,﻿pet_r_kenrick_901,﻿Rev.,﻿Peter R. Kenrick,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.945643,-75.148563,,,,﻿tho_da-silva_901,﻿Rev.,﻿Thomas Da Silva,,,,,,﻿under the direction of the Fathers of the Society of Jesus,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.946554,-75.147571,,,,﻿ste_l_dubuisson_901,﻿Rev.,﻿Stephen Dubuisson,﻿S.J.,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,﻿Willing's Al.,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.946554,-75.147571,,,,﻿ed_mccarthy_901,﻿Rev. Mr.,﻿Ed. M'Carthy,﻿S.J.,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.955527,-75.146585,,,,﻿mic_hurley_901,﻿Rev.,﻿Michael Hurley,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,﻿N. 4th Street,,,﻿Philadelphia County,﻿Philadelphia,﻿Philadelphia,﻿PA,,39.955527,-75.146585,,,,﻿n_o-donnell_901,﻿Rev.,﻿N. O'Donnell,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.945508,-75.151895,,,,﻿fra_guth_901,﻿Rev.,﻿Francis Guth,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.945508,-75.151895,,,,﻿cor_vanderbraak_901,﻿Rev.,﻿Cor. Vanderbraak,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.945508,-75.151895,,,,﻿pet_lemke_901,﻿Rev.,﻿Peter Lemké,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evan.,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.95127,-75.161381,,,,﻿joh_hughes_901,﻿Rev.,﻿John Hughes,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John Evan.,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.95127,-75.161381,,,,﻿fra_x_gartland_901,﻿Rev.,﻿F. X. Gartland,,,,,,,,1835,,﻿,﻿,﻿Philadelphia,Philadelphia
