instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿lit.ar.9000,﻿church,not recorded,English,,,,,,﻿Pine Bluff,﻿Pine Bluff,﻿AR,﻿AR,34.2137819380727,-92.00170641199409,,,,,,,﻿Rev.,﻿A. Dupuy,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis College,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,38.6364264655831,-90.2342251018688,,,,,,﻿pet_j_verhaegen_901,,﻿Peter. J. Verhaegen,,﻿President,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.0148,﻿college,﻿St. Louis College,English,,,,,﻿St. Louis County,﻿St. Louis,﻿St. Louis,﻿MO,,38.6364264655831,-90.2342251018688,,,,,,,,﻿T. Van Develde,,﻿Vice President,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9007,﻿college,﻿St. Mary's College,English,,,,﻿Perry County,﻿Perry County,﻿Barrens,﻿Perryville,﻿MO,﻿MO,37.7270239241326,-89.8898409852915,,,,,,﻿joh_simon_901,﻿Rev.,﻿John Simon,,﻿President,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9008,﻿convent,﻿Convent of the Ladies of the Sacred Heart,English,﻿founded by the munificence of John Mullanphy,,,,,﻿St. Louis,,﻿MO,,37.7270239241326,-89.8898409852915,,,,,,,,﻿Madame Dochesne,,﻿Superior,,﻿orphan,﻿12 orphans,,1834,﻿StLouis,StLouis
﻿stl.mo.9009,﻿academy,﻿Young Ladies' Academy,English,﻿at the Convent of the Sacred Heart,﻿Mississippi River,,,,﻿St. Louis,,﻿MO,,37.7270239241326,-89.8898409852915,,,,,,,,,,,,,,,1834,﻿StLouis,StLouis
﻿lou.kt.0142,﻿convent and academy,﻿Convent and Female Academy of the Ladies of the Sacred Heart,English,﻿here is the novitiate of the Ladies of the Sacred Heart,﻿at St. Ferdinand,,,﻿St. Louis County,﻿Florissant,﻿Florissant,﻿MO,﻿MO,38.795223823579896,-90.32720226583722,,,,,,,,﻿Madame Meffry,,﻿Superior,,,,﻿Ladies of the Sacred Heart,1834,﻿StLouis,StLouis
﻿stl.mo.9010,﻿convent and academy,﻿Convent and Female Academy,English,,﻿at St. Charles,,,,,,﻿MO,,38.795223823579896,-90.32720226583722,,,,,,,,﻿Madame Lucille Mathevon,,,,,,﻿Ladies of the Sacred Heart,1834,﻿StLouis,StLouis
﻿stl.mo.9011,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,﻿near St. Mary's Seminary,,﻿Perry County,﻿Perry County,﻿Bethlehem,﻿Perryville,﻿MO,﻿MO,38.795223823579896,-90.32720226583722,,,,,,,,,,,,﻿orphan,,,1834,﻿StLouis,StLouis
﻿stl.mo.9012,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,﻿MO,38.795223823579896,-90.32720226583722,,,,,,﻿rosati_901,﻿Rev.,﻿Rosati,,﻿Bishop,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9012,﻿convent and academy,﻿Convent and Female Academy of the Sisters of Loretto,English,,,,﻿Madison County,﻿Madison County,﻿Frederickstown,﻿Fredericktown,﻿MO,,38.795223823579896,-90.32720226583722,,,,,,,﻿Rev.,﻿F. Cellini,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9013,﻿convent,﻿Convent of the Sisters of Loretto,English,,,,,﻿New Madrid County,﻿New Madrid,﻿New Madrid,﻿MO,﻿MO,36.5875429088153,-89.5288074969247,,,,,,,,,,,,,,,1834,﻿StLouis,StLouis
﻿stl.mo.9014,﻿hospital,not recorded,English,,,,,,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,36.5875429088153,-89.5288074969247,,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿under the direction of the Sisters of Charity,1834,﻿StLouis,StLouis
﻿stl.mo.9015,﻿asylum,﻿Oprhan Asylum,English,﻿for boys,,,,,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,36.5875429088153,-89.5288074969247,,,,,,,,,,,,﻿sisters,﻿5 sisters,﻿under the direction of the Sisters of Charity,1834,﻿StLouis,StLouis
﻿stl.mo.9016,﻿school,﻿St. Joseph's School,English,,﻿Vide Poche,,,,﻿St. Louis,﻿St. Louis,﻿MO,﻿MO,36.5875429088153,-89.5288074969247,,,,,,,,,,,,﻿sisters,﻿3 sisters,﻿under the direction of the Sisters of Charity,1834,﻿StLouis,StLouis
