instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿har.ct.0025,﻿church,﻿Our Lady of the Isle,English,,,,,﻿Newport County,﻿Newport,﻿Newport,﻿RI,,41.48419929999999,-71.3084391,,,,,,﻿mic_oreilly_004,﻿Rev.,﻿M. O'Reilly,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0026,﻿church,﻿Immaculate Conception,English,,,,,﻿Providence County,﻿Pawtucket,﻿Pawtucket,﻿RI,,41.878710999999996,-71.38255579999999,,,,,,﻿p_g_delaney_001,﻿Rev.,﻿Patrick G. Delany,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0027,﻿church,﻿SS. Peter and Paul,English,,,,,﻿Kent County,﻿Phoenixville,﻿West Warwick,﻿RI,,41.721302200000004,-71.52952640000001,,,,,,﻿mic_a_wallace_001,﻿Rev.,﻿M. A. Wallace,﻿LL.D.,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0031,﻿church,﻿St. Patrick's,English,,,,,﻿Providence County,﻿Valley Falls,﻿Valley Falls,﻿RI,,41.906766299999994,-71.39061190000001,,,,,,﻿ric_ogorman_001,﻿Rev.,﻿Richard O'Gorman,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0032,﻿church,﻿St. Francis',English,,,,,﻿Washington County,﻿Wakefield,﻿Wakefield,﻿RI,,41.4381721,-71.50155459999999,﻿har.ct.0020,,﻿attended from Westerly,﻿Mass once a month,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0033,﻿church,﻿St. Mary's,English,,,,,﻿Bristol County,﻿Warren,﻿Warren,﻿RI,,41.730379299999996,-71.2825493,,,,,,﻿mic_mccallion_001,﻿Rev.,﻿Michael McCallion,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0034,﻿church,not recorded,English,,,,,﻿Washington County,﻿Wickford,﻿Wickford,﻿RI,,41.5722602,-71.448489,﻿har.ct.0027,,﻿attended from Phoenixville,,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0035,﻿church,﻿St. Charles Borromeo,English,,,,﻿Cumberland Co.,﻿Providence County,﻿Woonsocket,﻿Woonsocket,﻿RI,,42.008323,-71.51378509999999,,,,,,﻿mic_mccabe_001,﻿Rev.,﻿M. McCabe,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0035,﻿church,﻿St. Charles Borromeo,English,,,,﻿New London County,﻿Providence County,﻿Baltic,﻿Woonsocket,﻿CT,,42.008323,-71.51378509999999,﻿har.ct.0143,,﻿attended from Willimantic,﻿Mass every Sunday,,,,,,,,,,,1864,﻿Hartford,Hartford
﻿har.ct.0039,﻿church,﻿St. James',English,,,,,﻿Fairfield County,﻿Bridgeport,﻿Bridgeport,﻿CT,,41.1804284,-73.1966099,,,,,,﻿tho_j_sinnott_001,﻿Rev.,﻿Thos. J. Synnott,,,,,,,1864,﻿Hartford,Hartford
