instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿boi.id.0001,﻿church,not recorded,English,,,﻿District of Boise,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿l_lootens_001,﻿Rt. Rev.,﻿L. Lootens,﻿DD,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0001,﻿church,not recorded,English,,,﻿District of Boise,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿a_z_poulin_002,﻿Very Rev.,﻿A. Z. Poulin,,﻿Pastor,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0001,﻿church,not recorded,English,,,﻿District of Boise,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿a_perret_001,﻿Rev.,﻿A. Perret,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0003,﻿church,﻿St. Thomas',English,,,﻿District of Boise,,﻿Boise County,﻿Placerville,﻿Placerville,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0004,﻿church,﻿St. Dominick's,English,,,﻿District of Boise,,﻿Boise County,﻿Centreville,﻿Centerville,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0005,﻿church,﻿St. Francis',English,,,﻿District of Boise,,﻿Boise County,﻿Pioneer City,﻿Pioneerville,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0002,﻿church,not recorded,English,,,﻿District of Boise,,﻿Ada County,﻿Boise City,﻿Boise,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0012,﻿church,not recorded,English,,,﻿District of Boise,,﻿Elmore County,﻿Rocky Car,﻿Rocky Bar,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0013,﻿church,not recorded,English,,,﻿District of Boise,,,﻿Yuba,,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0001,﻿Attended from Idaho City,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0007,﻿church,﻿St. Andrew's,English,,,﻿District of Owyhee,,﻿Owyhee County,﻿Silver City,﻿Silver City,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿t_mesplie_001,﻿Rev.,﻿T. Mesplie,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0007,﻿church,﻿St. Andrew's,English,,,﻿District of Owyhee,,﻿Owyhee County,﻿Silver City,﻿Silver City,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿kil_coll_001,﻿Rev.,﻿Kil. Coll.,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0014,﻿church,not recorded,English,,﻿Jordan Valley,﻿District of Owyhee,,﻿Owyhee County,﻿Owyhee City,﻿Owyhee,﻿ID,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0015,﻿church,not recorded,English,,,﻿District of Idaho,,﻿Nez Perce,﻿Lewiston,﻿Lewiston,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿cataldo_001,﻿Rev. Father,﻿Cataldo,﻿S.J.,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0016,﻿church,not recorded,English,,,﻿District of Idaho,,﻿Clearwater County,﻿Orofino,﻿Orofino,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0017,﻿church,not recorded,English,,,﻿District of Idaho,,﻿Idaho County,﻿Elk City,﻿Elk City,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0010,﻿church,not recorded,English,,,﻿District of Idaho,,﻿Idaho County,﻿Florence,﻿Florence,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0011,﻿church,not recorded,English,,,﻿District of Idaho,,﻿Idaho County,﻿Warren,﻿Warren,﻿ID,,﻿#REF!,﻿#REF!,﻿boi.id.0015,﻿Attended from Lewiston,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0018,﻿mission,"﻿Cœur de'Alène Mission, Sacred Heart",English,,,,,﻿Kootenai County,﻿Cœur de'Alène,﻿Coeur d'Alene,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿g_gazzoli_002,﻿Rev.,﻿G. Gazzoli,﻿S.J.,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0018,﻿mission,"﻿Cœur de'Alène Mission, Sacred Heart",English,,,,,﻿Kootenai County,﻿Cœur de'Alène,﻿Coeur d'Alene,﻿ID,,﻿#REF!,﻿#REF!,,,,,﻿jm_caruana_002,﻿Rev.,﻿J.M. Caruana,﻿S.J.,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0019,﻿mission,﻿Pend'Oreille Mission,English,,,,,,,,,,﻿#REF!,﻿#REF!,,,,,﻿jos_grassi_002,﻿Rev.,﻿Jos. Grassi,﻿S.J.,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0019,﻿mission,﻿Pend'Oreille Mission,English,,,,,,,,,,﻿#REF!,﻿#REF!,,,,,﻿jos_venzina_001,﻿Rev.,﻿Jos. Venzina,﻿S.J.,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0019,﻿mission,﻿Pend'Oreille Mission,English,,,,,,,,,,﻿#REF!,﻿#REF!,,,,,﻿f_cazeau_001,﻿Rev.,﻿F. Cazeau,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0020,﻿mission,﻿Spokan Mission,English,,,,,﻿Spokane County,﻿Spokan,﻿Spokane,,﻿WA,﻿#REF!,﻿#REF!,﻿boi.id.0018,﻿Atended from Cœur de'Alène,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0021,﻿mission,not recorded,English,,,,,﻿Pend Oreille County,﻿Kalispel,﻿Kalispell,,﻿MT,﻿#REF!,﻿#REF!,,﻿from St. Ignatius,,,,,,,,,,,,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0024,﻿mission,﻿Indian Mission of the Rocky Mountains,English,,,,,,﻿need to search history for location,,,,﻿#REF!,﻿#REF!,,,,,﻿j_jiorda_001,﻿Rev. Father,﻿J. Jiorda,,﻿Superior,,,,﻿the Jesuit Fathers,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0022,﻿school,﻿Providence School,English,,,,,,﻿need to search history for location,,,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,﻿conducted by the Sisters of Charity,1869,﻿VAIdaho,VAIdaho
﻿boi.id.0023,﻿school,﻿St. Mary's Academy,English,,,,,﻿Boise County,﻿Idaho City,﻿Idaho City,﻿ID,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,﻿conducted by the Sisters of the Holy Names of Jesus and Mary,1869,﻿VAIdaho,VAIdaho
