instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿gra.ca.0069,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,,﻿NV,﻿CA,39.6985046,-120.9249514,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0077,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,,﻿Whiskey Diggings,﻿NV,﻿CA,39.7529495,-120.8816166,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0021,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Downieville,﻿Downieville,﻿NV,﻿CA,39.7529495,-120.8816166,,,,,,﻿b_p_morris_001,﻿Rev.,﻿B. P. Morris,,﻿pastor,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0027,﻿church,not recorded,English,,,,﻿Placer County,﻿Placer County,﻿Forest Hill,﻿Foresthill,﻿NV,﻿CA,39.0201768,-120.81798909999998,,,﻿attended by Rev. B. P. Morris,,,,,,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0003,﻿church,not recorded,English,,,,﻿Sierra County,﻿Sierra County,﻿Alleghany Town,﻿Alleghany Town,﻿NV,﻿CA,39.0201768,-120.81798909999998,,,﻿attended by Rev. B. P. Morris,,,,,,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0122,﻿church,not recorded,English,,,,,,﻿La Porte,﻿La Porte,﻿NV,﻿CA,39.0201768,-120.81798909999998,,,﻿attended by Rev. B. P. Morris,,,,,,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0035,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,﻿Grass Valley,﻿Grass Valley,﻿NV,﻿CA,39.2136657,-121.0733512,,,,,,﻿joh_griffin_001,﻿Rev.,﻿John Griffin,,﻿pastor,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0006,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,,﻿Birchville,﻿NV,﻿CA,39.326896999999995,-121.142769,,,,,,﻿joh_griffin_001,﻿Rev.,﻿John Griffin,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0013,﻿church,not recorded,English,,,,﻿Nevada County,﻿Nevada County,,﻿Cherokee,﻿NV,﻿CA,39.37028,-121.04194,,,,,,﻿joh_griffin_001,﻿Rev.,﻿John Griffin,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0016,﻿church,not recorded,English,,,,﻿Nevada County,﻿Washoe County,,,﻿NV,﻿NV,40.560838700000005,-119.60354950000001,,,,,,﻿joh_griffin_001,﻿Rev.,﻿John Griffin,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
﻿gra.ca.0024,﻿church,not recorded,English,,,,﻿Nevada County,,,,﻿NV,﻿CA,39.382019899999996,-120.658588,,,,,,﻿joh_griffin_001,﻿Rev.,﻿John Griffin,,,,,,,1865,﻿VAMarysvilleCalifornia,VAMarysvilleCalifornia
